possession_side,time_band,time_start,time_end,score_diff_label,score_diff_min,score_diff_max,call,detail,notes,raw_text
our_possession,0:08-0:07.1,0:08,0:07.1,1,1,1,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:08-0:07.1,0:08,0:07.1,2,2,2,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:08-0:07.1,0:08,0:07.1,3,3,3,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:07-0:06.1,0:07,0:06.1,-4,-4,-4,NEED 3 / / *CRASH 5*,,,NEED 3 / / *CRASH 5*
our_possession,0:07-0:06.1,0:07,0:06.1,-3,-3,-3,NEED 3 / / *CRASH 5*,,,NEED 3 / / *CRASH 5*
our_possession,0:07-0:06.1,0:07,0:06.1,-2,-2,-2,NEED 2 / BUT PREFER / 3,,,NEED 2 / BUT PREFER / 3
our_possession,0:07-0:06.1,0:07,0:06.1,-1,-1,-1,NEED 2,,,NEED 2
our_possession,0:07-0:06.1,0:07,0:06.1,0,0,0,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:07-0:06.1,0:07,0:06.1,1,1,1,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:07-0:06.1,0:07,0:06.1,2,2,2,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:07-0:06.1,0:07,0:06.1,3,3,3,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:06-0:05.1,0:06,0:05.1,-4,-4,-4,NEED 3 / / *CRASH 5*,,,NEED 3 / / *CRASH 5*
our_possession,0:06-0:05.1,0:06,0:05.1,-3,-3,-3,NEED 3 / / *CRASH 5*,,,NEED 3 / / *CRASH 5*
our_possession,0:06-0:05.1,0:06,0:05.1,-2,-2,-2,NEED 2 / BUT PREFER / 3,,,NEED 2 / BUT PREFER / 3
our_possession,0:06-0:05.1,0:06,0:05.1,-1,-1,-1,NEED 2,,,NEED 2
our_possession,0:06-0:05.1,0:06,0:05.1,0,0,0,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:06-0:05.1,0:06,0:05.1,1,1,1,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:06-0:05.1,0:06,0:05.1,2,2,2,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:06-0:05.1,0:06,0:05.1,3,3,3,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:05-0:04.1,0:05,0:04.1,-4,-4,-4,NEED 3 / / *CRASH 5*,,,NEED 3 / / *CRASH 5*
our_possession,0:05-0:04.1,0:05,0:04.1,-3,-3,-3,NEED 3 / / *CRASH 5*,,,NEED 3 / / *CRASH 5*
our_possession,0:05-0:04.1,0:05,0:04.1,-2,-2,-2,NEED 2 / BUT PREFER / 3,,,NEED 2 / BUT PREFER / 3
our_possession,0:05-0:04.1,0:05,0:04.1,-1,-1,-1,NEED 2,,,NEED 2
our_possession,0:05-0:04.1,0:05,0:04.1,0,0,0,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:05-0:04.1,0:05,0:04.1,1,1,1,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:05-0:04.1,0:05,0:04.1,2,2,2,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:05-0:04.1,0:05,0:04.1,3,3,3,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:04-0:03.1,0:04,0:03.1,-4,-4,-4,NEED 3 / / *CRASH 5*,,,NEED 3 / / *CRASH 5*
our_possession,0:04-0:03.1,0:04,0:03.1,-3,-3,-3,NEED 3 / / *CRASH 5*,,,NEED 3 / / *CRASH 5*
our_possession,0:04-0:03.1,0:04,0:03.1,-2,-2,-2,LOB OR CATCH AND / SHOOT,,,LOB OR CATCH AND / SHOOT
our_possession,0:04-0:03.1,0:04,0:03.1,-1,-1,-1,LOB OR CATCH AND / SHOOT,,,LOB OR CATCH AND / SHOOT
our_possession,0:04-0:03.1,0:04,0:03.1,0,0,0,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:04-0:03.1,0:04,0:03.1,1,1,1,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:04-0:03.1,0:04,0:03.1,2,2,2,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:04-0:03.1,0:04,0:03.1,3,3,3,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:03-0:02.1,0:03,0:02.1,-4,-4,-4,NEED 3 / / *CRASH 5*,,,NEED 3 / / *CRASH 5*
our_possession,0:03-0:02.1,0:03,0:02.1,-3,-3,-3,NEED 3 / / *CRASH 5*,,,NEED 3 / / *CRASH 5*
our_possession,0:03-0:02.1,0:03,0:02.1,-2,-2,-2,LOB OR CATCH AND / SHOOT,,,LOB OR CATCH AND / SHOOT
our_possession,0:03-0:02.1,0:03,0:02.1,-1,-1,-1,LOB OR CATCH AND / SHOOT,,,LOB OR CATCH AND / SHOOT
our_possession,0:03-0:02.1,0:03,0:02.1,0,0,0,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:03-0:02.1,0:03,0:02.1,1,1,1,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:03-0:02.1,0:03,0:02.1,2,2,2,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:03-0:02.1,0:03,0:02.1,3,3,3,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:02-0:01.1,0:02,0:01.1,-4,-4,-4,DRAW FOUL,,,DRAW FOUL
our_possession,0:02-0:01.1,0:02,0:01.1,-3,-3,-3,DRAW FOUL,,,DRAW FOUL
our_possession,0:02-0:01.1,0:02,0:01.1,-2,-2,-2,LOB / TIP,,,LOB / TIP
our_possession,0:02-0:01.1,0:02,0:01.1,-1,-1,-1,LOB / TIP,,,LOB / TIP
our_possession,0:02-0:01.1,0:02,0:01.1,0,0,0,LOB / TIP,,,LOB / TIP
our_possession,0:02-0:01.1,0:02,0:01.1,1,1,1,SAFE INBOUNDS,,,SAFE INBOUNDS
our_possession,0:02-0:01.1,0:02,0:01.1,2,2,2,SAFE INBOUNDS,,,SAFE INBOUNDS
our_possession,0:02-0:01.1,0:02,0:01.1,3,3,3,SAFE INBOUNDS,,,SAFE INBOUNDS
our_possession,0:01-0:00.5,0:01,0:00.5,-4,-4,-4,DRAW FOUL,,,DRAW FOUL
our_possession,0:01-0:00.5,0:01,0:00.5,-3,-3,-3,DRAW FOUL,,,DRAW FOUL
our_possession,0:01-0:00.5,0:01,0:00.5,-2,-2,-2,LOB / TIP,,,LOB / TIP
our_possession,0:01-0:00.5,0:01,0:00.5,-1,-1,-1,LOB / TIP,,,LOB / TIP
our_possession,0:01-0:00.5,0:01,0:00.5,0,0,0,LOB / TIP,,,LOB / TIP
our_possession,0:01-0:00.5,0:01,0:00.5,1,1,1,SAFE INBOUNDS,,,SAFE INBOUNDS
our_possession,0:01-0:00.5,0:01,0:00.5,2,2,2,SAFE INBOUNDS,,,SAFE INBOUNDS
our_possession,0:01-0:00.5,0:01,0:00.5,3,3,3,SAFE INBOUNDS,,,SAFE INBOUNDS
our_possession,0:00.4-0:00.1,0:00.4,0:00.1,-4,-4,-4,DRAW FOUL,,,DRAW FOUL
our_possession,0:00.4-0:00.1,0:00.4,0:00.1,-3,-3,-3,DRAW FOUL,,,DRAW FOUL
our_possession,0:00.4-0:00.1,0:00.4,0:00.1,-2,-2,-2,LOB / TIP,,,LOB / TIP
our_possession,0:00.4-0:00.1,0:00.4,0:00.1,-1,-1,-1,LOB / TIP,,,LOB / TIP
our_possession,0:00.4-0:00.1,0:00.4,0:00.1,0,0,0,LOB / TIP,,,LOB / TIP
our_possession,0:00.4-0:00.1,0:00.4,0:00.1,1,1,1,SAFE INBOUNDS,,,SAFE INBOUNDS
our_possession,0:00.4-0:00.1,0:00.4,0:00.1,2,2,2,SAFE INBOUNDS,,,SAFE INBOUNDS
our_possession,0:00.4-0:00.1,0:00.4,0:00.1,3,3,3,SAFE INBOUNDS,,,SAFE INBOUNDS
opponent_possession,1:00-0:52.1,1:00,0:52.1,-5,-5,-5,DEFEND NORMALLY,,,DEFEND NORMALLY
opponent_possession,1:00-0:52.1,1:00,0:52.1,-4,-4,-4,DEFEND NORMALLY,,,DEFEND NORMALLY
opponent_possession,1:00-0:52.1,1:00,0:52.1,-3,-3,-3,DEFEND NORMALLY,,,DEFEND NORMALLY
opponent_possession,1:00-0:52.1,1:00,0:52.1,-2,-2,-2,DEFEND NORMALLY,,,DEFEND NORMALLY
opponent_possession,1:00-0:52.1,1:00,0:52.1,-1,-1,-1,DEFEND NORMALLY,,,DEFEND NORMALLY
opponent_possession,1:00-0:52.1,1:00,0:52.1,0,0,0,DEFEND NORMALLY,,,DEFEND NORMALLY
opponent_possession,1:00-0:52.1,1:00,0:52.1,1,1,1,DEFEND NORMALLY,,,DEFEND NORMALLY
opponent_possession,1:00-0:52.1,1:00,0:52.1,2,2,2,DEFEND NORMALLY,,,DEFEND NORMALLY
opponent_possession,1:00-0:52.1,1:00,0:52.1,3,3,3,DEFEND NORMALLY,,,DEFEND NORMALLY
opponent_possession,1:00-0:52.1,1:00,0:52.1,4+,4,,DEFEND NORMALLY,,,DEFEND NORMALLY
opponent_possession,0:52-0:40.1,0:52,0:40.1,-5,-5,-5,DEFEND NORMALLY,,,DEFEND NORMALLY
